Automobile ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Weight Class ID,Category ID,Model,Model Year,City Range,Highway Range,City Fuel Economy,City Fuel Economy Units,Highway Fuel Economy,Highway Fuel Economy Units,City Gas Fuel Economy,Highway Gas Fuel Economy,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Warranty Info,Ordering Info,Description,Comments,Manufacturer,Manufacturer URL,Fuel Code,Fuel,Category,Fuel Configuration Name
11329,57,3,377,"",27,A3 e-tron,2015,"","","","","","","","",Auto,"",1.4,4,"1.4L I4, 75 kW electric drive","","","","","","","",31 mi est. all electric range,Audi,http://progress.audiusa.com/,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Dual/Bi-Fueled
11392,11,5,377,"",27,A4 Quattro,2015,"","",15.0,mpg,22.0,mpg,22.0,31.0,Auto,SI,2.0,4,2.0L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11394,11,5,377,"",27,A5 Cabriolet Quattro,2015,"","",15.0,mpg,21.0,mpg,20.0,28.0,Auto,SI,2.0,4,2.0L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11393,11,5,377,"",27,A5 Quattro,2015,"","",15.0,mpg,22.0,mpg,22.0,31.0,Auto,SI,2.0,4,2.0L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11395,11,5,377,"",27,Allroad Quattro,2015,"","",15.0,mpg,21.0,mpg,21.0,28.0,Auto,SI,2.0,4,2.0L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11396,11,5,377,"",29,Q5 AWD,2015,"","",14.0,mpg,19.0,mpg,20.0,28.0,Auto,SI,2.0,4,2.0L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
11358,45,9,377,"",29,Q5 Hybrid AWD,2015,"","","","","","",24.0,30.0,Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Audi,http://progress.audiusa.com/,HYBR,Hybrid Electric,SUV,Hybrid Electric
11397,11,5,355,"",27,Continental Flying Spur,2015,"","",9.0,mpg,15.0,mpg,12.0,20.0,Auto,SI,6,12,6.0L V12,"","","","","","","","",Bentley Motors,http://www.bentleymotors.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11398,11,5,355,"",27,Continental GT,2015,"","",9.0,mpg,15.0,mpg,12.0,21.0,Auto,SI,6,12,6.0L V12,"","","","","","","","",Bentley Motors,http://www.bentleymotors.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11399,11,5,355,"",27,Continental GTC,2015,"","",9.0,mpg,15.0,mpg,12.0,20.0,Auto,SI,6,12,6.0L V12,"","","","","","","","",Bentley Motors,http://www.bentleymotors.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11359,45,9,211,"",27,ActiveHybrid 3,2015,"","","","","","",25.0,33.0,Auto,SI,3.0,6,3.0L I6,"","","","","","","","",BMW,www.bmwusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11360,45,9,211,"",27,ActiveHybrid 5,2015,"","","","","","",23.0,30.0,Auto,SI,3.0,6,3.0L I6,"","","","","","","","",BMW,www.bmwusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11361,45,9,211,"",27,ActiveHybrid 7,2015,"","","","","","",22.0,30.0,Auto,SI,3.0,6,3.0L I6,"","","","","","","","",BMW,www.bmwusa.com,HYBR,Hybrid Electric,Sedan/Wagon,Hybrid Electric
11344,41,1,211,"",27,i3,2015,"","",137.0,Mpge,111.0,Mpge,"","",Auto,"",125 kW,"","125 kW electric motor, 21 kWh battery","",21 kWh,"","","","","",81 mi all electric range,BMW,www.bmwusa.com,ELEC,Electric,Sedan/Wagon,Dedicated
11331,57,9,211,"",27,i3 w/Range Extender,2015,"","",117.0,Mpge Gas + Electric,"",NULL,"","",Auto,"",0.6L,"","0.6L I2, 125kW electric motor","","","","","","","",72 mi est. all electric range,BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11330,57,3,211,"",27,i8,2015,"","",76.0,Mpge Gas + Electric,"","","","",Auto,"",1.5,3,"1.5L I3, 96 kW electric drive","","","","","","","",14 mi est. all electric range,BMW,www.bmwusa.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Dual/Bi-Fueled
11471,11,5,235,"",27,LaCrosse FWD/AWD,2015,"","",14.0,mpg,20.0,mpg,18.0,28.0,Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Buick,http://www.buick.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11469,11,5,235,"",27,Regal FWD/AWD,2015,"","","","","","","","",Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Buick,http://www.buick.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11470,11,5,235,"",27,Verano,2015,"","","","","","","","",Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Buick,http://www.buick.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11400,11,5,231,"",27,ATS RWD/AWD,2015,"","","",mpg,"",mpg,"","",Auto,SI,3.6,6,3.6L V6,"","","","","","","","",Cadillac,http://www.cadillac.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11332,57,9,231,"",27,ELR,2015,"","",82.0,Mpge combined electricity,"",NULL,31.0,35.0,Auto,"",1.4L,"","1.4L I4, 111 kW electric motor","","","","","","","",37 mi est. all electric range,Cadillac,http://www.cadillac.com,PHEV,Plug-in Hybrid Electric,Sedan/Wagon,Hybrid Electric
11426,11,5,215,"",27,Caprice Police Patrol Vehicle,2015,"","","",mpg,"","","","",Auto,SI,6.0,8,6.0L V8,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),Sedan/Wagon,Flexible Fuel
11421,11,5,215,"",29,Captiva,2015,"","",15.0,mpg,22.0,mpg,20.0,28.0,Auto,SI,2.4,4,2.4L I4,"","","","","","","","",Chevrolet,http://www.chevrolet.com,E85_GSLN,Ethanol (E85),SUV,Flexible Fuel
